DTP Enlistment Date,CI Screening result at  DODCAF,ARMY G1 Review,USCIS Notified on Final Suitability
2/16/15,9/5/17,Suitable,3/1/18
12/22/15,12/15/17,,
6/17/16,1/19/18,,
10/27/15,,,
3/25/16,1/22/18,,
3/11/16,,Unsuitable,
2/26/16,1/30/18,Suitable,3/20/18
4/1/16,12/12/17,,
3/24/16,12/13/17,Suitable,3/1/18
2/17/16,12/26/17,,
6/9/16,1/17/18,Suitable,4/10/18
3/16/16,2/2/18,,
3/31/16,12/3/17,,
3/14/16,11/24/17,Suitable,5/2/18
12/1/15,9/6/17,,
3/22/16,12/28/17,Suitable,4/18/18
3/17/16,12/6/17,,
1/8/16,12/26/17,,
3/22/16,11/20/17,Suitable,4/3/18
6/8/16,1/16/18,Suitable,3/1/18
3/2/16,,Unsuitable,3/26/18
2/9/16,12/6/17,Suitable,5/2/18
6/7/16,,,
2/5/16,1/11/18,Suitable,3/20/18
6/9/16,1/31/18,Suitable,4/3/18
6/9/16,2/13/18,,
2/16/16,12/26/17,,
12/17/15,1/23/18,Suitable,4/18/18
6/10/16,1/12/18,Suitable,4/18/18
6/15/16,1/22/18,Suitable,3/1/18
10/26/15,8/29/18,,
4/15/16,12/26/18,,
6/13/16,2/13/18,,
3/16/16,12/27/18,Suitable,5/2/18
2/11/16,1/12/18,Suitable,3/23/18
3/11/16,N/A,,
11/24/15,1/13/18,,
1/21/16,9/26/17,Suitable,3/1/18
5/5/16,12/4/17,,
3/11/16,12/8/17,,
3/24/16,12/4/18,Suitable,3/1/18
3/17/16,12/26/18,,
4/7/16,12/4/17,Suitable,3/1/18
3/21/16,1/17/18,,
4/27/16,1/12/18,Suitable,3/1/18
3/18/16,11/30/18,Suitable,5/2/18
3/8/16,1/22/18,,
4/27/16,2/12/18,,
4/11/16,1/10/18,Suitable,3/20/18
3/17/16,1/19/18,,
3/24/16,1/22/18,Suitable,3/1/18
2/2/16,10/15/17,,
1/8/16,2/5/18,,
2/18/16,11/16/17,,
12/8/15,1/8/18,Suitable,2/27/18
3/24/16,12/4/17,,
3/10/16,1/8/18,,
3/18/16,2/2/18,Suitable,5/2/18
4/26/16,22-Jan,,
11/13/15,10/21/17,,
2/5/16,1/30/18,,
6/22/16,N/A,,
1/27/16,1/22/18,,
5/16/16,11/27/17,Suitable,4/30/18
1/13/16,12/6/17,,
3/18/16,1/12/18,Suitable,4/10/18
5/31/16,9/23/18,Suitable,4/10/18
1/8/16,,Suitable,4/18/18
3/25/16,12/4/17,,
3/24/16,1/8/18,Suitable,3/1/18
3/31/16,1/9/18,Suitable,3/1/18
6/6/16,12/6/17,Suitable,4/3/18
3/10/16,2/15/18,Suitable,5/2/18
4/12/16,12/4/17,,
4/8/16,11/22/17,Suitable,5/2/18
3/8/16,1/10/18,Suitable,5/2/18
5/18/16,,,
2/17/16,11/21/17,,
6/17/16,2/5/18,,
4/7/16,1/11/18,Suitable,4/18/18
2/24/16,1/9/18,Suitable,3/20/18
2/11/16,12/13/17,,
2/17/16,2/1/18,,
8/13/15,1/14/18,Suitable,5/2/18
9/23/15,,,
12/17/15,9/23/17,Suitable,3/1/18
12/16/15,9/23/17,,
1/14/16,11/14/17,Suitable,3/1/18
12/30/15,1/23/18,Suitable,3/23/18
1/28/16,10/22/17,,
3/14/16,12/4/17,,
6/9/16,2/1/18,Suitable,4/10/18
3/10/16,11/16/17,Suitable,3/1/18
1/22/16,11/19/17,Suitable,4/10/18
2/9/16,1/8/18,Suitable,5/2/18
5/20/16,2/8/18,,
1/7/16,10/4/17,,
5/6/16,2/7/18,,
3/30/16,12/11/17,Suitable,4/3/18
1/26/16,12/28/17,Suitable,3/1/18
11/25/15,9/7/17,,
4/1/16,12/12/17,,
4/29/16,2/5/18,,
4/19/16,1/3/18,Suitable,3/1/18
6/7/16,2/1/18,Suitable,4/10/18
10/30/15,8/28/17,Suitable,3/1/18
3/30/16,2/8/18,,
6/16/16,1/23/18,Suitable,4/10/18
1/26/16,10/15/17,,
