CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
12/22/17,,,,,,,,12/16/15,9/5/17,3/1/18,3/1/18
3/2/17,,,,,,,,12/22/15,12/15/17,,
12/20/17,,,,,,,,6/17/16,1/19/18,,
2/1/17,,,,,,,,10/27/15,N/A,,
10/18/17,,,,,,,,3/25/16,1/22/18,5/23/18,5/23/18
7/24/17,,,,,,,,3/11/16,,,
12/8/17,,,,,,,,4/1/16,12/12/17,5/11/18,5/11/18
2/26/18,,,,,,,,3/24/16,12/13/17,3/1/18,3/1/18
3/19/18,,,,,,,,2/17/16,12/26/17,,
4/9/18,,,,,,,,6/9/16,1/17/18,4/10/18,4/10/18
4/13/17,,,,,,,,3/16/16,2/2/18,,
2/28/17,,,,,,,,3/31/16,12/3/17,,
2/14/18,,,,,,,,3/14/16,11/24/17,5/2/18,5/2/18
4/13/17,,,,,,,,12/1/15,9/6/17,,
1/16/18,,,,,,,,3/22/16,12/28/17,,4/18/18
7/18/17,,,,,,,,3/17/16,12/6/17,,
4/20/18,,,,,,,,12/7/15,9/17/17,,
2/16/17,,,7/10/17,,,,,1/8/16,12/26/17,,
3/15/18,,,,,,,,6/8/16,1/16/18,3/1/18,3/1/18
6/30/17,,,12/22/17,,,,,3/2/16,,,
2/13/17,,,,,,,7/2/18,2/9/16,12/6/17,5/2/18,5/2/18
3/22/17,,,,,,,,6/7/16,,,
2/24/17,4/17/18,,,,,,Yes,2/5/16,1/11/18,3/20/18,3/20/18
5/25/17,,,,,,,6/4/18,6/9/16,1/31/18,4/3/18,4/3/18
6/19/17,,,,,,,,6/9/16,2/13/18,,
8/31/17,,,9/14/17,,,,,2/16/16,12/26/17,5/23/18,5/23/18
3/15/17,,,,,,,7/2/18,12/17/15,1/23/18,4/18/18,4/18/18
6/1/17,,,,,,,6/14/18,6/10/16,1/12/18,4/18/18,4/18/18
4/23/18,,,,,,,,5/12/16,1/23/18,,
8/17/17,,,,,,,,10/26/15,8/29/17,,
2/2/18,,,,,,,,4/15/16,12/26/17,,
3/20/17,,,,,,,,6/13/16,2/13/18,,
4/19/17,,,,,,,,3/16/16,12/27/17,5/2/18,5/2/18
3/5/18,,,,,,,,2/11/16,1/12/18,3/23/18,3/23/18
1/30/17,,,,,,,,3/11/16,N/A,,
2/22/18,,,,,,,,11/24/15,1/13/18,Pend ng,
7/3/17,,,,,,,,5/5/16,12/4/17,,
5/15/18,,,,,,,,3/10/16,2/13/18,,
5/26/17,,,,,,,,3/11/16,12/8/17,,
1/16/18,,,,,,,,3/24/16,12/4/17,3/1/18,3/1/18
12/27/16,,,,,,,,3/17/16,12/26/17,,
11/9/17,,,1/10/18,,,,,3/21/16,1/17/18,,
9/11/17,,,,,,,6/25/18,4/27/16,1/12/18,3/1/18,3/1/18
5/8/17,,,,,,,,3/18/16,11/30/17,5/2/18,5/2/18
9/18/17,,,2/9/18,,,,,3/8/16,1/22/18,,
8/18/17,,,,,,,,4/27/16,2/12/18,,
5/23/17,,,,,,,,3/17/16,1/19/18,,
6/28/17,,,,,,,6/21/18,3/24/16,1/22/18,3/1/18,3/1/18
4/9/18,,,,,,,,2/2/16,10/15/17,,
6/15/17,,,,,,,,1/8/16,2/5/18,,
7/17/17,,,,,,,,2/18/16,11/16/17,,
3/15/18,,,,,,,,12/8/15,1/8/18,5/23/18,5/23/18
1/19/18,,,,,,,,3/24/16,12/4/17,,
8/10/17,,,,,,,,3/10/16,1/8/18,,
1/19/18,,,,,,,,3/18/16,2/2/18,5/2/18,5/2/18
8/8/17,,,,,,,,4/26/16,,,
1/26/17,5/29/18,,,,,,Yes,4/19/16,12/13/17,4/3/18,4/3/18
3/14/18,,,,,,,,11/13/15,1/22/18,,
2/27/17,,,,,,,,2/5/16,10/21/17,,
4/2/18,,,,,,,,6/22/16,1/30/18,,
2/21/17,,,,,,,,1/27/16,,,
1/26/18,,,,,,,,1/13/16,11/27/17,,
3/3/17,,,,,,,6/4/18,3/18/16,12/6/17,4/10/18,4/10/18
4/12/17,,,,,,,,5/31/16,1/12/18,4/10/18,4/10/18
3/12/18,,,,,,,,3/25/16,,,
3/23/18,,,,,,,,3/24/16,12/4/17,3/1/18,3/1/18
5/16/18,,,,,,,,12/2/15,10/22/17,,
7/13/17,,,,,,,,6/6/16,1/9/18,4/3/18,4/3/18
1/8/18,,,,,,,,3/10/16,12/6/17,5/2/18,5/2/18
4/25/18,,,,,,,,3/9/16,1/14/18,,
2/2/18,,,,,,,,4/12/16,2/15/18,,
6/19/17,,,,,,,,4/8/16,12/4/17,5/23/18,5/23/18
8/1/17,,,,,,,,3/8/16,11/22/17,5/2/18,5/2/18
3/9/17,,,,,,,,5/18/16,1/10/18,,
3/20/17,,,,,,,,2/17/16,11/21/17,,
7/3/17,,,,,,,,6/17/16,2/5/18,,
3/29/17,,,,,,,6/22/18,4/7/16,1/11/18,4/18/18,4/18/18
5/10/17,,,,,,,,2/11/16,12/13/17,5/11/18,5/11/18
7/3/17,,,,,,,,2/17/16,2/1/18,,
4/10/17,,,,,,,,8/13/15,1/14/18,5/2/18,5/2/18
3/27/18,,,,,,,,12/17/15,9/23/17,3/1/18,3/1/18
3/29/18,,,,,,,,12/16/15,9/23/17,,
3/28/18,,,,,,,,1/14/16,11/14/17,3/1/18,3/1/18
5/15/17,5/3/18,,,,,,Yes,12/30/15,1/23/18,3/23/18,3/23/18
2/21/17,,,,,,,,1/28/16,10/22/17,,
5/19/17,,,,,,,,3/14/16,12/4/17,,
6/29/17,,,,,,,7/5/18,6/9/16,2/1/18,4/10/18,4/10/18
5/16/18,,,,,,,,3/16/16,12/11/17,4/3/18,4/3/18
5/1/17,,,,,,,6/21/18,1/22/16,11/19/17,4/10/18,4/10/18
3/23/17,,,,,,,,2/9/16,1/8/18,5/2/18,5/2/18
12/1/16,,,,,,,,5/20/16,2/8/18,,
3/14/17,,,,,,,,1/7/16,10/4/17,,
4/25/18,,,,,,,,5/6/16,2/21/18,5/2/18,5/2/18
3/13/18,,,,,,,,5/6/16,2/7/18,,
2/14/18,,,,,,,,1/26/16,12/28/17,3/1/18,3/1/18
3/23/18,,,,,,,,11/25/15,9/7/17,,
4/4/18,,,,,,,,4/1/16,12/12/17,,
3/6/17,,,,,,,,4/29/16,2/5/18,5/11/18,5/11/18
6/29/17,,,,,,,6/7/18,4/19/16,1/3/18,3/1/18,3/1/18
4/17/17,12/19/17,,,,,,Yes,10/30/15,8/28/17,3/1/18,3/1/18
3/13/17,,,,,,,,3/30/16,2/8/18,5/11/18,5/11/18
7/13/17,,,,,,,,6/16/16,1/23/18,4/10/18,4/10/18
4/6/18,,,5/3/18,,,,,5/10/16,1/17/18,3/1/18,3/1/18
6/30/17,,,,,,,,1/26/16,10/15/17,,
5/24/17,,,,,,,,9/29/16,8/28/17,,
11/7/17,5/14/18,5/14/18,,,,,Yes,2/26/16,12/26/17,3/1/18,3/1/18
3/26/18,,,,,,,,5/17/16,1/12/18,3/1/18,3/1/18
7/18/17,,,,,,,,6/21/16,2/15/18,,
7/5/17,4/10/18,,,,,,Yes,3/22/16,1/9/18,3/1/18,3/1/18
8/14/17,,,,,,,7/3/18,12/30/15,2/6/18,,
2/2/18,,,,,,,,6/23/16,1/24/18,,
8/10/17,,,9/21/17,5/15/18,,,Yes,3/29/16,12/12/17,3/1/18,3/1/18
3/16/18,,,,,,,,3/28/16,1/22/18,4/10/18,4/10/18
3/29/18,,,,,,,,2/11/16,12/29/17,3/20/18,3/20/18
4/14/17,,,,,,,,3/25/16,12/26/17,,
3/16/18,,,,,,,,6/15/16,1/29/18,4/10/18,4/10/18
2/21/17,,,,,,,6/21/18,6/24/16,1/24/18,4/10/18,4/10/18
3/3/17,,,,,,,6/23/18,5/10/16,1/9/18,3/1/18,3/1/18
5/3/18,,,,,,,,5/25/16,1/16/18,,
8/11/17,,,,,,,,3/30/16,12/26/17,,
4/4/18,,,,,,,,3/31/16,12/1/17,,
1/30/17,,,,,,,,1/7/16,9/19/17,,
2/1/18,,,,,,,,12/11/15,9/3/17,3/20/18,3/20/18
1/16/18,,,,,,,,1/29/16,1/4/18,4/10/18,4/10/18
3/10/17,,,,,,,,9/3/15,2/12/18,3/23/18,3/23/18
7/5/17,,,,,,,,2/26/16,1/3/18,,
1/19/18,,,,,,,,1/7/16,2/23/18,,
1/8/18,,,,,,,,3/11/16,12/5/17,3/1/18,3/1/18
7/20/17,,,7/20/17,,,,,3/28/16,,,
2/8/17,,,,,,,,12/23/15,12/26/17,,
6/8/17,,,,,,,,1/27/16,1/17/18,4/10/18,4/10/18
12/11/17,,,,,,,,1/21/16,1/2/18,3/1/18,3/1/18
3/28/17,5/8/18,,,,,Yes,6/27/18,4/21/16,1/10/18,3/1/18,3/1/18
4/19/17,,,,,,,,2/9/16,1/2/18,,
1/23/17,,,,,,,6/26/18,2/3/16,2/9/18,5/2/18,5/2/18
8/17/17,,,,,,,6/5/18,4/21/16,1/4/18,4/10/18,4/10/18
3/6/17,,,,,,,,4/27/16,2/5/18,,
3/3/17,,,,,,,6/25/18,5/26/16,1/10/18,4/10/18,4/10/18
2/6/17,,,,,,,,5/26/16,9/19/17,,
3/7/17,,,,,,,,3/16/16,11/22/17,,
2/21/17,,,,,,,,4/29/16,1/23/18,,
4/9/18,,,,,,,,3/16/16,2/5/18,,
4/12/17,1/11/18,4/23/18,,,,Yes,,2/3/16,12/20/17,4/10/18,4/10/18
4/2/18,,,,,,,,2/11/16,12/26/17,,
5/1/17,,,,,,,,5/5/16,1/23/18,,
5/3/18,,,,,,,,3/30/16,2/9/18,,
1/31/18,,,,,,,,6/7/16,1/24/18,,
